Threshold,Discriminatory,Modifier,Pink,Magenta,Violet,Blue,Green,Yellow,PopBust?,Diversifying,Neurtal,Focusing,Equitable,Inequitable,Total,Average
1200,50,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,0,0,0,27,0,0,0,FALSE,0,27,0,27,0,27,8
1200,50,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,0,0,0,38,0,0,0,FALSE,0,38,0,38,0,38,8
1200,50,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,0,0,0,27,0,0,0,FALSE,0,27,0,27,0,27,8
1200,50,0,0,0,19,0,0,0,FALSE,0,19,0,19,0,19,8
1200,50,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,0,0,0,27,0,0,0,FALSE,0,27,0,27,0,27,8
1200,50,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,70,0,0,0,19,0,0,0,FALSE,0,19,0,19,0,19,8
0,30,1,14,0,0,0,34,0,FALSE,14,0,34,48,0,48,6.333333333
0,30,1,46,0,0,0,0,0,FALSE,46,0,0,46,0,46,12
0,30,1,0,0,56,0,0,0,FALSE,0,56,0,56,0,56,8
0,30,1,0,0,42,0,0,0,FALSE,0,42,0,42,0,42,8
0,30,1,0,0,63,0,0,0,FALSE,0,63,0,63,0,63,8
0,30,1,20,0,0,0,21,0,FALSE,20,0,21,41,0,41,7.902439024
0,30,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,30,1,0,0,65,0,0,0,FALSE,0,65,0,65,0,65,8
0,30,1,0,0,47,0,0,0,FALSE,0,47,0,47,0,47,8
0,30,1,0,0,57,0,0,0,FALSE,0,57,0,57,0,57,8
0,30,1,26,0,0,0,8,0,FALSE,26,0,8,34,0,34,10.11764706
0,30,1,0,0,51,0,0,0,FALSE,0,51,0,51,0,51,8
0,30,1,0,0,53,0,0,0,FALSE,0,53,0,53,0,53,8
0,30,1,0,0,52,0,0,0,FALSE,0,52,0,52,0,52,8
0,30,1,0,0,44,0,0,0,FALSE,0,44,0,44,0,44,8
0,30,1,0,0,41,0,7,0,FALSE,0,41,7,48,0,48,7.416666667
0,30,1,0,0,26,0,19,0,FALSE,0,26,19,45,0,45,6.311111111
0,30,1,0,0,42,0,0,0,FALSE,0,42,0,42,0,42,8
0,30,1,0,0,50,0,0,0,FALSE,0,50,0,50,0,50,8
0,30,1,14,0,0,0,31,0,FALSE,14,0,31,45,0,45,6.488888889
1200,30,1,0,0,61,0,0,0,FALSE,0,61,0,61,0,61,8
1200,30,1,0,0,56,0,0,0,FALSE,0,56,0,56,0,56,8
1200,30,1,0,0,67,0,0,0,FALSE,0,67,0,67,0,67,8
1200,30,1,0,0,48,0,0,0,FALSE,0,48,0,48,0,48,8
1200,30,1,0,0,61,0,0,0,FALSE,0,61,0,61,0,61,8
1200,30,1,8,0,0,0,0,0,FALSE,8,0,0,8,0,8,12
1200,30,1,0,0,37,0,0,0,FALSE,0,37,0,37,0,37,8
1200,30,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,30,1,0,0,58,0,0,0,FALSE,0,58,0,58,0,58,8
1200,30,1,0,0,47,0,0,0,FALSE,0,47,0,47,0,47,8
1200,30,1,0,0,43,0,0,0,FALSE,0,43,0,43,0,43,8
1200,30,1,0,0,55,0,0,0,FALSE,0,55,0,55,0,55,8
1200,30,1,0,0,16,0,0,0,FALSE,0,16,0,16,0,16,8
1200,30,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,30,1,0,0,50,0,0,0,FALSE,0,50,0,50,0,50,8
1200,30,1,0,0,57,0,0,0,FALSE,0,57,0,57,0,57,8
1200,30,1,0,0,42,0,0,0,FALSE,0,42,0,42,0,42,8
1200,30,1,0,0,57,0,0,0,FALSE,0,57,0,57,0,57,8
1200,30,1,18,0,0,0,24,0,FALSE,18,0,24,42,0,42,7.428571429
1200,30,1,0,0,44,0,0,0,FALSE,0,44,0,44,0,44,8
0,50,1,32,0,0,0,0,0,FALSE,32,0,0,32,0,32,12
0,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,50,1,20,0,0,0,0,0,FALSE,20,0,0,20,0,20,12
0,50,1,0,0,29,0,0,0,FALSE,0,29,0,29,0,29,8
0,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,50,1,0,0,22,0,0,0,FALSE,0,22,0,22,0,22,8
0,50,1,21,0,0,0,0,0,FALSE,21,0,0,21,0,21,12
0,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
0,50,1,22,0,0,0,0,0,FALSE,22,0,0,22,0,22,12
0,50,1,0,0,22,0,0,0,FALSE,0,22,0,22,0,22,8
0,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
1200,50,1,4,0,0,0,0,0,FALSE,4,0,0,4,0,4,12
1200,50,1,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,NA
