Predation Risk,Foraging Success,Threshold,Discriminatory,Modifier,Purple,Blue,Orange,Red,Pop Bust,purple pop max,blue pop max,orange pop max,red pop max,Diversifying,Focusing,Equitable,Inequitable,Total
0.00017,0.87,1,33,0,0,42,0,0,TRUE,36,132,27,18,42,0,0,42,42
0.00017,0.87,1,33,0,0,0,0,0,FALSE,16,10,12,17,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,14,38,11,15,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,29,40,26,9,0,0,0,0,0
0.00017,0.87,1,33,0,0,46,0,0,FALSE,33,118,27,13,46,0,0,46,46
0.00017,0.87,1,33,0,0,0,0,0,FALSE,27,41,33,15,0,0,0,0,0
0.00017,0.87,1,33,0,0,18,0,0,FALSE,12,118,49,13,18,0,0,18,18
0.00017,0.87,1,33,0,0,0,0,0,FALSE,22,69,22,12,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,20,117,9,19,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,16,98,17,34,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,13,33,14,16,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,21,25,7,13,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,TRUE,17,139,26,14,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,16,62,45,15,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,12,32,14,13,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,18,75,16,25,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,15,63,18,20,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,28,92,13,25,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,15,46,18,15,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,47,49,30,38,0,0,0,0,0
0.00017,0.87,1,33,0,0,0,0,0,FALSE,34,57,31,17,0,0,0,0,0
0.00017,0.87,1,33,0,0,107,0,0,FALSE,14,111,28,16,107,0,0,107,107
0.00017,0.87,1,33,0,0,0,0,0,FALSE,17,93,21,15,0,0,0,0,0
0.00017,0.87,1,33,0,0,19,0,0,TRUE,47,134,18,26,19,0,0,19,19
0.00017,0.87,1,33,0,0,0,0,0,FALSE,40,79,20,11,0,0,0,0,0
